File,Total Genes,Annotated,Predominant GO Biological Process,Predominant Gene Function,Physiological Summary
rank_35_comp19_top100.csv,100,32,"innate immune response [GO:0045087], positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508]","Adhesion G protein-coupled receptor B1, Amine oxidase [flavin-containing] B, Stabilizer of axonemal microtubules 4",Genes involved in signal transduction and development and differentiation
rank_35_comp1_top100.csv,100,32,"defense response to Gram-negative bacterium [GO:0050829], innate immune response [GO:0045087], signal transduction [GO:0007165]","Ovochymase-1, Scavenger receptor cysteine-rich domain-containing protein DMBT1, Amine oxidase [flavin-containing] B",Genes involved in signal transduction and development and differentiation
rank_35_comp20_top100.csv,100,30,"signal transduction [GO:0007165], proteolysis [GO:0006508], cilium assembly [GO:0060271]","Ovochymase-1, Stabilizer of axonemal microtubules 4, G-protein coupled receptor 157",Genes involved in development and differentiation and signal transduction
rank_35_comp21.csv,4,0,N/A,N/A,Unannotated genes
rank_35_comp21_top100.csv,100,32,"negative regulation of transcription by RNA polymerase II [GO:0000122], proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Adhesion G protein-coupled receptor B1, Retinol dehydrogenase 5",Genes involved in development and differentiation and signal transduction
rank_35_comp22_top100.csv,100,39,"cell adhesion [GO:0007155], innate immune response [GO:0045087], proteolysis [GO:0006508]","Retinol dehydrogenase 5, Amine oxidase [flavin-containing] B, Hemicentin-1",Genes involved in signal transduction and development and differentiation
rank_35_comp23.csv,51,19,"protein folding [GO:0006457], DNA repair [GO:0006281], transcription by RNA polymerase II [GO:0006366]","Coatomer subunit beta, S-methyl-5'-thioadenosine phosphorylase, Vacuolar ATPase assembly protein VMA22",Genes involved in protein processing and degradation and gene expression regulation
rank_35_comp23_top100.csv,100,24,"signal transduction [GO:0007165], proteolysis [GO:0006508], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Ovochymase-1, Amine oxidase [flavin-containing] B, Retinol dehydrogenase 5",Genes involved in signal transduction and metabolic processes
rank_35_comp24_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], defense response to Gram-negative bacterium [GO:0050829], regulation of transcription by RNA polymerase II [GO:0006357]","Ovochymase-1, Scavenger receptor cysteine-rich domain-containing protein DMBT1, Amine oxidase [flavin-containing] B",Genes involved in signal transduction and development and differentiation
rank_35_comp25.csv,2,0,N/A,N/A,Unannotated genes
rank_35_comp25_top100.csv,100,28,"defense response to Gram-negative bacterium [GO:0050829], positive regulation of transcription by RNA polymerase II [GO:0045944], visual perception [GO:0007601]","Ovochymase-1, Amine oxidase [flavin-containing] B, Retinol dehydrogenase 5",Genes involved in development and differentiation and metabolic processes
rank_35_comp26_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], mRNA processing [GO:0006397]","Ovochymase-1, Heat shock factor protein 1, Early growth response protein 1",Genes involved in signal transduction and metabolic processes
rank_35_comp27_top100.csv,100,35,"proteolysis [GO:0006508], mRNA processing [GO:0006397], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Heat shock factor protein 1, Amine oxidase [flavin-containing] B",Genes involved in signal transduction and metabolic processes
rank_35_comp28_top100.csv,100,36,"positive regulation of transcription by RNA polymerase II [GO:0045944], gene expression [GO:0010467], defense response to Gram-negative bacterium [GO:0050829]","Amine oxidase [flavin-containing] B, Metabotropic glutamate receptor 3, Inner nuclear membrane protein Man1",Genes involved in development and differentiation and signal transduction
rank_35_comp29_top100.csv,100,30,"proteolysis [GO:0006508], innate immune response [GO:0045087], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Amine oxidase [flavin-containing] B, Adhesion G protein-coupled receptor B1",Genes involved in metabolic processes and signal transduction
rank_35_comp2_top100.csv,100,34,"proteolysis [GO:0006508], innate immune response [GO:0045087], cell division [GO:0051301]","Ovochymase-1, Retinol dehydrogenase 5, Four and a half LIM domains protein 2",Genes involved in development and differentiation and metabolic processes
rank_35_comp3.csv,26,10,"protein transport [GO:0015031], cellular response to leukemia inhibitory factor [GO:1990830], endoplasmic reticulum unfolded protein response [GO:0030968]","Protein mono-ADP-ribosyltransferase PARP16, Golgi phosphoprotein 3 homolog sauron, Eukaryotic initiation factor 4A-III",Genes involved in intracellular transport and development and differentiation
rank_35_comp30.csv,10,0,N/A,N/A,Unannotated genes
rank_35_comp30_top100.csv,100,37,"adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189], cell surface receptor signaling pathway [GO:0007166], negative regulation of apoptotic process [GO:0043066]","Ovochymase-1, Adhesion G protein-coupled receptor B1, Retinol dehydrogenase 5",Genes involved in development and differentiation and signal transduction
rank_35_comp31.csv,14,1,"cellular response to actinomycin D [GO:0072717], G1 to G0 transition [GO:0070314], negative regulation of transcription by RNA polymerase II [GO:0000122]",Large ribosomal subunit protein uL14,Genes involved in gene expression regulation and metabolic processes
rank_35_comp31_top100.csv,100,30,"visual perception [GO:0007601], proteolysis [GO:0006508], negative regulation of transcription by RNA polymerase II [GO:0000122]","Ovochymase-1, Amine oxidase [flavin-containing] B, Retinol dehydrogenase 5",Genes involved in development and differentiation and signal transduction
rank_35_comp32_top100.csv,100,25,"proteolysis [GO:0006508], in utero embryonic development [GO:0001701], visual perception [GO:0007601]","Ovochymase-1, Hemicentin-1, Adhesion G protein-coupled receptor B1",Genes involved in metabolic processes and development and differentiation
rank_35_comp33_top100.csv,100,33,"cilium assembly [GO:0060271], flagellated sperm motility [GO:0030317], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Stabilizer of axonemal microtubules 4, Adhesion G protein-coupled receptor B1, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and cilium assembly and function
rank_35_comp34.csv,30,19,"spermatogenesis [GO:0007283], cell differentiation [GO:0030154], cellular response to reactive oxygen species [GO:0034614]","Glycine betaine reductase ATRR, Protocadherin Fat 3, A-kinase anchor protein 1, mitochondrial",Genes involved in development and differentiation and metabolic processes
rank_35_comp34_top100.csv,100,39,"negative regulation of apoptotic process [GO:0043066], heart development [GO:0007507], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Ovochymase-1, Adhesion G protein-coupled receptor B1, Fibrocystin-L",Genes involved in development and differentiation and metabolic processes
rank_35_comp35_top100.csv,100,38,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], regulation of transcription by RNA polymerase II [GO:0006357]","Ovochymase-1, Early growth response protein 1, Amine oxidase [flavin-containing] B",Genes involved in metabolic processes and signal transduction
rank_35_comp3_top100.csv,100,31,"proteolysis [GO:0006508], innate immune response [GO:0045087], positive regulation of gene expression [GO:0010628]","Retinol dehydrogenase 5, Amine oxidase [flavin-containing] B, CUB and sushi domain-containing protein 3",Genes involved in development and differentiation and signal transduction
rank_35_comp4.csv,3,0,N/A,N/A,Unannotated genes
rank_35_comp4_top100.csv,100,40,"positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944], defense response to Gram-negative bacterium [GO:0050829]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, G-protein coupled receptor 157, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_35_comp5.csv,7,5,"apoptotic process [GO:0006915], cellular response to growth factor stimulus [GO:0071363], gastrulation [GO:0007369]","Small ribosomal subunit protein RACK1, T-complex protein 1 subunit zeta, Small ribosomal subunit protein uS3",Genes involved in cell division and proliferation and signal transduction
rank_35_comp5_top100.csv,100,26,"defense response to Gram-negative bacterium [GO:0050829], positive regulation of acrosome reaction [GO:2000344], triglyceride catabolic process [GO:0019433]","Ovochymase-1, Uromodulin [Cleaved into: Uromodulin, secreted form], Adhesion G protein-coupled receptor B1",Genes involved in development and differentiation and metabolic processes
rank_35_comp6_top100.csv,100,35,"negative regulation of apoptotic process [GO:0043066], innate immune response [GO:0045087], signal transduction [GO:0007165]","Retinol dehydrogenase 5, Four and a half LIM domains protein 2, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and signal transduction
rank_35_comp7.csv,1,0,N/A,N/A,Unannotated genes
rank_35_comp7_top100.csv,100,34,"positive regulation of transcription by RNA polymerase II [GO:0045944], innate immune response [GO:0045087], negative regulation of transcription by RNA polymerase II [GO:0000122]","Ovochymase-1, Scavenger receptor cysteine-rich domain-containing protein DMBT1, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and signal transduction
rank_35_comp8.csv,3,1,"isoleucyl-tRNA aminoacylation [GO:0006428], osteoblast differentiation [GO:0001649], tRNA aminoacylation for protein translation [GO:0006418]","Isoleucine--tRNA ligase, cytoplasmic",Genes primarily involved in development and differentiation
rank_35_comp8_top100.csv,100,31,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], response to bacterium [GO:0009617]","Scavenger receptor cysteine-rich domain-containing protein DMBT1, Retinol dehydrogenase 5, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and signal transduction
rank_35_comp9_top100.csv,100,40,"regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of transcription by RNA polymerase II [GO:0000122]","Retinol dehydrogenase 5, Heat shock factor protein 1, Amine oxidase [flavin-containing] B",Genes involved in development and differentiation and signal transduction
rank_45_comp10_top100.csv,100,26,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in development and differentiation and gene expression regulation
rank_45_comp11.csv,10,2,"co-translational protein modification [GO:0043686], post-translational protein modification [GO:0043687], protein N-linked glycosylation via asparagine [GO:0018279]","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A, High mobility group protein B3",Genes involved in protein processing and degradation and immune and defense responses
rank_45_comp11_top100.csv,100,24,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and metabolic processes
rank_45_comp12.csv,1,0,N/A,N/A,Unannotated genes
rank_45_comp12_top100.csv,100,29,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], negative regulation of apoptotic process [GO:0043066]","Ovochymase-1, Heat shock factor protein 1, Arsenite methyltransferase",Genes involved in development and differentiation and signal transduction
rank_45_comp13_top100.csv,100,25,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], innate immune response [GO:0045087]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and immune and defense responses
rank_45_comp14_top100.csv,100,34,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], innate immune response [GO:0045087]","Ovochymase-1, Arsenite methyltransferase, Retinol dehydrogenase 5",Genes involved in development and differentiation and signal transduction
rank_45_comp15_top100.csv,100,28,"proteolysis [GO:0006508], signal transduction [GO:0007165], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in metabolic processes and immune and defense responses
rank_45_comp16_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357]","Ovochymase-1, Arsenite methyltransferase, Early growth response protein 1",Genes involved in development and differentiation and gene expression regulation
rank_45_comp17_top100.csv,100,29,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], cell adhesion [GO:0007155]","Ovochymase-1, Collagen alpha-1, Arsenite methyltransferase",Genes involved in intracellular transport and immune and defense responses
rank_45_comp18_top100.csv,100,35,"proteolysis [GO:0006508], innate immune response [GO:0045087], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Lactotransferrin, Antiviral innate immune response receptor RIG-I",Genes involved in development and differentiation and signal transduction
rank_45_comp19.csv,897,327,"proteolysis [GO:0006508], cilium assembly [GO:0060271], innate immune response [GO:0045087]","Adhesion G-protein coupled receptor D1, GON-4-like protein, Putative histone-lysine N-methyltransferase PRDM6",Genes involved in development and differentiation and metabolic processes
rank_45_comp19_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and signal transduction
rank_45_comp1_top100.csv,100,35,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Matrix metalloproteinase-25, Arsenite methyltransferase",Genes involved in development and differentiation and metabolic processes
rank_45_comp20.csv,4,1,"negative regulation of cilium assembly [GO:1902018], negative regulation of protein localization to cilium [GO:1903565], protein transport [GO:0015031]",Rab GDP dissociation inhibitor beta,Genes involved in intracellular transport and cilium assembly and function
rank_45_comp20_top100.csv,100,31,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and metabolic processes
rank_45_comp21_top100.csv,100,30,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Arsenite methyltransferase, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_45_comp22_top100.csv,100,29,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], MAPK cascade [GO:0000165]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and intracellular transport
rank_45_comp23_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Arsenite methyltransferase, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_45_comp24_top100.csv,100,32,"proteolysis [GO:0006508], signal transduction [GO:0007165], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Matrix metalloproteinase-25, Arsenite methyltransferase",Genes involved in development and differentiation and metabolic processes
rank_45_comp25_top100.csv,100,27,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in development and differentiation and signal transduction
rank_45_comp26_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], extracellular matrix organization [GO:0030198]","Ovochymase-1, Arsenite methyltransferase, Glutamate carboxypeptidase 2",Genes involved in metabolic processes and development and differentiation
rank_45_comp27_top100.csv,100,27,"proteolysis [GO:0006508], signal transduction [GO:0007165], methylation [GO:0032259]","Ovochymase-1, Arsenite methyltransferase, Hemicentin-1",Genes involved in development and differentiation and metabolic processes
rank_45_comp28_top100.csv,100,27,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Arsenite methyltransferase, Antiviral innate immune response receptor RIG-I",Genes involved in development and differentiation and signal transduction
rank_45_comp29_top100.csv,100,34,"proteolysis [GO:0006508], innate immune response [GO:0045087], methylation [GO:0032259]","Ovochymase-1, Arsenite methyltransferase, Glutamate carboxypeptidase 2",Genes involved in development and differentiation and signal transduction
rank_45_comp2_top100.csv,100,29,"proteolysis [GO:0006508], methylation [GO:0032259], sensory perception of sound [GO:0007605]","Ovochymase-1, Arsenite methyltransferase, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_45_comp30.csv,4,2,"atrial cardiac muscle cell development [GO:0055014], heart trabecula formation [GO:0060347], negative regulation of apoptotic process [GO:0043066]","Four and a half LIM domains protein 2, Hemicentin-2",Genes involved in development and differentiation and gene expression regulation
rank_45_comp30_top100.csv,100,30,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in development and differentiation and signal transduction
rank_45_comp31_top100.csv,100,32,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], cell adhesion [GO:0007155]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and signal transduction
rank_45_comp32_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Ovochymase-1, BAR/IMD domain-containing adapter protein 2, Arsenite methyltransferase",Genes involved in signal transduction and development and differentiation
rank_45_comp33_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], fibroblast growth factor receptor signaling pathway [GO:0008543]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and signal transduction
rank_45_comp34_top100.csv,100,32,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Arsenite methyltransferase, Heat shock factor protein 1",Genes involved in development and differentiation and gene expression regulation
rank_45_comp35_top100.csv,100,27,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628]","Ovochymase-1, Arsenite methyltransferase, Carbonic anhydrase 2",Genes involved in development and differentiation and metabolic processes
rank_45_comp36_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], gene expression [GO:0010467]","Ovochymase-1, Matrix metalloproteinase-25, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_45_comp37_top100.csv,100,24,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, Heat shock factor protein 1",Genes involved in development and differentiation and gene expression regulation
rank_45_comp38_top100.csv,100,24,"proteolysis [GO:0006508], signal transduction [GO:0007165], positive regulation of apoptotic process [GO:0043065]","Ovochymase-1, Arsenite methyltransferase, Chloride intracellular channel protein 2",Genes involved in development and differentiation and metabolic processes
rank_45_comp39_top100.csv,100,26,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in development and differentiation and signal transduction
rank_45_comp3_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Hemicentin-1, Arsenite methyltransferase",Genes involved in development and differentiation and signal transduction
rank_45_comp40_top100.csv,100,27,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in development and differentiation and metabolic processes
rank_45_comp41.csv,12,9,"protein localization [GO:0008104], small GTPase-mediated signal transduction [GO:0007264], nucleosome organization [GO:0034728]","Chromodomain-helicase-DNA-binding protein 1, Intersectin-1, DnaJ homolog subfamily C member 8",Genes involved in intracellular transport and development and differentiation
rank_45_comp41_top100.csv,101,25,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, BAR/IMD domain-containing adapter protein 2",Genes involved in development and differentiation and signal transduction
rank_45_comp42_top100.csv,100,28,"proteolysis [GO:0006508], signal transduction [GO:0007165], methylation [GO:0032259]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in development and differentiation and metabolic processes
rank_45_comp43.csv,1,0,N/A,N/A,Unannotated genes
rank_45_comp43_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of epithelial to mesenchymal transition [GO:0010718], signal transduction [GO:0007165]","Ovochymase-1, BAR/IMD domain-containing adapter protein 2, Arsenite methyltransferase",Genes involved in development and differentiation and intracellular transport
rank_45_comp44_top100.csv,100,36,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], negative regulation of cell population proliferation [GO:0008285]","Ovochymase-1, E3 ubiquitin-protein ligase rnf213-alpha, Adhesion G protein-coupled receptor B1",Genes involved in development and differentiation and signal transduction
rank_45_comp45_top100.csv,100,32,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Ovochymase-1, Scavenger receptor cysteine-rich domain-containing protein DMBT1, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_45_comp4_top100.csv,100,31,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], defense response to Gram-negative bacterium [GO:0050829]","Ovochymase-1, Arsenite methyltransferase, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_45_comp5.csv,4,1,"negative regulation of translation [GO:0017148], PML body organization [GO:0030578], regulation of mRNA stability [GO:0043488]",SERPINE1 mRNA-binding protein 1,Genes involved in negative regulation of translation
rank_45_comp5_top100.csv,101,29,"cilium assembly [GO:0060271], proteolysis [GO:0006508], signal transduction [GO:0007165]","Ovochymase-1, Kinesin-like protein KIF16B, BAR/IMD domain-containing adapter protein 2",Genes involved in intracellular transport and signal transduction
rank_45_comp6_top100.csv,100,23,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], visual perception [GO:0007601]","Ovochymase-1, Arsenite methyltransferase, Carbonic anhydrase 2",Genes involved in metabolic processes and intracellular transport
rank_45_comp7_top100.csv,100,29,"proteolysis [GO:0006508], signal transduction [GO:0007165], positive regulation of transcription by RNA polymerase II [GO:0045944]","Ovochymase-1, Arsenite methyltransferase, Chloride intracellular channel protein 2",Genes involved in development and differentiation and intracellular transport
rank_45_comp8.csv,806,312,"cell division [GO:0051301], proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944]","Hemicentin-1, Low-density lipoprotein receptor-related protein 2, Scavenger receptor cysteine-rich domain-containing protein DMBT1",Genes involved in development and differentiation and signal transduction
rank_45_comp8_top100.csv,100,26,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], signal transduction [GO:0007165]","Ovochymase-1, Arsenite methyltransferase, Signal recognition particle 19 kDa protein",Genes involved in immune and defense responses and signal transduction
rank_45_comp9_top100.csv,100,28,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], actin cytoskeleton organization [GO:0030036]","Ovochymase-1, Hemicentin-1, Arsenite methyltransferase",Genes involved in development and differentiation and signal transduction
rank_55_comp1.csv,7,4,"extracellular matrix disassembly [GO:0022617], microtubule-based movement [GO:0007018], organelle disassembly [GO:1903008]","Kinesin-like protein KIF9, Parkin coregulated gene protein, F-box/WD repeat-containing protein 10",Genes involved in development and differentiation and gene expression regulation
rank_55_comp10_top100.csv,100,24,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], positive regulation of osteoblast differentiation [GO:0045669]","Lactotransferrin, Glutamate carboxypeptidase 2, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in signal transduction and metabolic processes
rank_55_comp11.csv,1415,497,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Hemicentin-1, Adhesion G-protein coupled receptor D1, Gamma-aminobutyric acid type B receptor subunit 2",Genes involved in development and differentiation and signal transduction
rank_55_comp11_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of osteoblast differentiation [GO:0045669], cell population proliferation [GO:0008283]","Lactotransferrin, Heat shock factor protein 1, Ovochymase-1",Genes involved in development and differentiation and signal transduction
rank_55_comp12_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of DNA-templated transcription [GO:0045893]","Matrix metalloproteinase-25, Heat shock factor protein 1, Kruppel-like factor 1",Genes involved in development and differentiation and signal transduction
rank_55_comp13_top100.csv,100,33,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Matrix metalloproteinase-25, Glutamate carboxypeptidase 2, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp14.csv,1,0,N/A,N/A,Unannotated genes
rank_55_comp14_top100.csv,100,26,"proteolysis [GO:0006508], defense response to Gram-negative bacterium [GO:0050829], negative regulation of apoptotic process [GO:0043066]","Fibrocystin-L, Lactotransferrin, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_55_comp15_top100.csv,100,25,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628]","Heat shock factor protein 1, Kruppel-like factor 1, Uromodulin [Cleaved into: Uromodulin, secreted form]",Genes involved in development and differentiation and signal transduction
rank_55_comp16_top100.csv,100,29,"positive regulation of transcription by RNA polymerase II [GO:0045944], positive regulation of gene expression [GO:0010628], proteolysis [GO:0006508]","Matrix metalloproteinase-25, Early growth response protein 1, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp17_top100.csv,100,30,"positive regulation of gene expression [GO:0010628], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Hemicentin-1, Fibrocystin-L, Lactotransferrin",Genes involved in development and differentiation and signal transduction
rank_55_comp18_top100.csv,100,32,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], positive regulation of transcription by RNA polymerase II [GO:0045944]","Matrix metalloproteinase-25, Lactotransferrin, Heat shock factor protein 1",Genes involved in development and differentiation and signal transduction
rank_55_comp19_top100.csv,100,25,"proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628], defense response to Gram-negative bacterium [GO:0050829]","Heat shock factor protein 1, Fibrocystin-L, Hemicentin-1",Genes involved in development and differentiation and signal transduction
rank_55_comp1_top100.csv,100,32,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], regulation of transcription by RNA polymerase II [GO:0006357]","Matrix metalloproteinase-25, Heat shock factor protein 1, Kruppel-like factor 1",Genes involved in development and differentiation and signal transduction
rank_55_comp2.csv,6,2,"cell surface receptor signaling pathway [GO:0007166], endocytosis [GO:0006897], phosphorylation [GO:0016310]","Activated CDC42 kinase 1, ETS-related transcription factor Elf-2",Genes involved in gene expression regulation and signal transduction
rank_55_comp20_top100.csv,100,31,"positive regulation of transcription by RNA polymerase II [GO:0045944], regulation of transcription by RNA polymerase II [GO:0006357], positive regulation of DNA-templated transcription [GO:0045893]","Heat shock factor protein 1, Early growth response protein 1, Kruppel-like factor 1",Genes involved in development and differentiation and signal transduction
rank_55_comp21_top100.csv,100,31,"proteolysis [GO:0006508], cellular response to heat [GO:0034605], positive regulation of gene expression [GO:0010628]","Matrix metalloproteinase-25, Heat shock factor protein 1, Fibrocystin-L",Genes involved in development and differentiation and signal transduction
rank_55_comp22_top100.csv,100,24,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], positive regulation of DNA-templated transcription [GO:0045893]","Matrix metalloproteinase-25, Early growth response protein 1, Carbonic anhydrase 2",Genes involved in development and differentiation and signal transduction
rank_55_comp23_top100.csv,100,34,"positive regulation of transcription by RNA polymerase II [GO:0045944], proteolysis [GO:0006508], positive regulation of gene expression [GO:0010628]","Lactotransferrin, Heat shock factor protein 1, Early growth response protein 1",Genes involved in development and differentiation and signal transduction
