Coords	Name	MIRNA	1A10-fastp-adapters-polyG-31bp-merged_condensed	1A11-fastp-adapters-polyG-31bp-merged_condensed	1A12-fastp-adapters-polyG-31bp-merged_condensed	1A1-fastp-adapters-polyG-31bp-merged_condensed	1A2-fastp-adapters-polyG-31bp-merged_condensed	1A8-fastp-adapters-polyG-31bp-merged_condensed	1A9-fastp-adapters-polyG-31bp-merged_condensed	1B10-fastp-adapters-polyG-31bp-merged_condensed	1B11-fastp-adapters-polyG-31bp-merged_condensed	1B12-fastp-adapters-polyG-31bp-merged_condensed	1B1-fastp-adapters-polyG-31bp-merged_condensed	1B2-fastp-adapters-polyG-31bp-merged_condensed	1B5-fastp-adapters-polyG-31bp-merged_condensed	1B9-fastp-adapters-polyG-31bp-merged_condensed	1C10-fastp-adapters-polyG-31bp-merged_condensed	1C4-fastp-adapters-polyG-31bp-merged_condensed	1D10-fastp-adapters-polyG-31bp-merged_condensed	1D3-fastp-adapters-polyG-31bp-merged_condensed	1D4-fastp-adapters-polyG-31bp-merged_condensed	1D6-fastp-adapters-polyG-31bp-merged_condensed	1D8-fastp-adapters-polyG-31bp-merged_condensed	1D9-fastp-adapters-polyG-31bp-merged_condensed	1E10-fastp-adapters-polyG-31bp-merged_condensed	1E11-fastp-adapters-polyG-31bp-merged_condensed	1E12-fastp-adapters-polyG-31bp-merged_condensed	1E1-fastp-adapters-polyG-31bp-merged_condensed	1E3-fastp-adapters-polyG-31bp-merged_condensed	1E5-fastp-adapters-polyG-31bp-merged_condensed	1E9-fastp-adapters-polyG-31bp-merged_condensed	1F11-fastp-adapters-polyG-31bp-merged_condensed	1F4-fastp-adapters-polyG-31bp-merged_condensed	1F8-fastp-adapters-polyG-31bp-merged_condensed	1G5-fastp-adapters-polyG-31bp-merged_condensed	1H12-fastp-adapters-polyG-31bp-merged_condensed	1H7-fastp-adapters-polyG-31bp-merged_condensed	1H8-fastp-adapters-polyG-31bp-merged_condensed	2B2-fastp-adapters-polyG-31bp-merged_condensed	2B3-fastp-adapters-polyG-31bp-merged_condensed	2C1-fastp-adapters-polyG-31bp-merged_condensed	2C2-fastp-adapters-polyG-31bp-merged_condensed	2D2-fastp-adapters-polyG-31bp-merged_condensed	2E2-fastp-adapters-polyG-31bp-merged_condensed	2F1-fastp-adapters-polyG-31bp-merged_condensed	2G1-fastp-adapters-polyG-31bp-merged_condensed
ptg000015l:8362556-8363000	Cluster_8002	N	46	0	115	640	127	9	272	39	0	0	593	217	1769	29	42	57	96	3095	494	668	188	1143	0	0	0	21	122	22	82	130	346	8	228	31	758	50	73	778	166	1057	63	92	11	30
ptg000015l:8365144-8365563	Cluster_8003	N	0	0	0	4	5	0	48	0	0	0	24	1	121	1	3	0	12	62	0	152	0	37	0	0	0	0	23	0	0	0	0	8	12	0	73	1	5	0	0	5	0	0	0	0
ptg000015l:8367206-8367627	Cluster_8004	N	6	0	4	27	37	1	37	4	0	0	25	25	77	7	4	6	24	89	5	102	6	44	0	0	0	11	34	1	6	15	13	8	48	3	282	3	8	30	23	36	2	1	4	8
ptg000015l:8370426-8370938	Cluster_8005	N	42	0	135	43	127	20	176	96	0	0	102	16	255	81	4	304	198	362	285	240	143	137	0	0	0	101	265	31	109	20	172	44	260	7	136	20	99	897	167	1320	129	4	33	167
ptg000015l:8371116-8371540	Cluster_8006	N	4	0	36	7	18	0	13	0	0	0	7	3	57	17	3	43	14	26	57	30	17	26	0	0	0	25	24	14	6	5	2	4	22	2	27	1	12	119	16	209	22	0	5	8
ptg000015l:8376538-8376960	Cluster_8007	N	3	0	4	12	22	2	16	1	0	0	24	8	103	0	2	1	10	66	12	78	2	63	0	0	0	4	20	1	7	6	5	2	5	2	61	0	3	5	3	8	3	0	4	6
ptg000015l:8378703-8379292	Cluster_8008	N	41	0	64	89	30	4	85	52	0	0	3	50	14	79	45	16	87	21	66	13	24	12	0	0	0	30	280	0	56	75	62	20	79	0	0	0	7	157	28	133	37	0	2	95
ptg000015l:8380862-8381297	Cluster_8009	N	0	0	557	1550	5559	5	4655	131	0	2	118	1096	4	1	219	1	8	290	1395	5	462	1	1	3	1	2	4	1	175	1319	77	1	8929	1	12	2	2	2	4806	6	97	3	3	213
ptg000015l:8381344-8384165	Cluster_8010	N	29	3	4184	3300	6113	118	9027	2056	13	37	1294	2303	196	46	1162	43	145	4916	6934	186	4360	101	58	2	8	44	214	6	2944	2375	5633	41	10525	82	262	154	74	130	5998	263	3275	22	28	5333
ptg000015l:8386090-8386519	Cluster_8011	N	4	0	2	50	30	5	29	0	0	0	20	67	72	5	117	9	8	63	2	181	27	103	0	0	1	6	26	0	1	74	8	4	53	1	23	11	9	31	29	60	46	0	3	16
ptg000015l:8396573-8397001	Cluster_8012	N	4	0	3	8	3	266	14	0	0	0	3	7	9	6	2	0	12	11	7	9	4	2	0	0	0	7	19	0	2	7	2	6	2	140	20	253	4	12	3	4	6	86	3	8
ptg000015l:8412294-8412725	Cluster_8013	N	137	1	439	279	112	151	346	181	0	0	208	145	466	123	84	128	1840	539	937	2029	873	421	0	0	0	145	1032	40	209	267	770	104	175	76	327	60	249	244	52	1038	399	52	38	831
ptg000015l:8414416-8414842	Cluster_8014	N	12	0	4	8	2	8	10	4	0	0	100	5	34	15	2	3	17	571	7	65	11	17	0	0	0	9	34	1	3	7	6	6	2	1	8	4	28	12	6	17	7	1	5	6
ptg000015l:8414857-8415284	Cluster_8015	N	11	0	3	10	58	2	72	3	0	0	7	10	175	13	3	5	1	205	15	146	2	60	0	0	1	0	6	1	3	5	2	8	129	0	70	5	0	60	36	38	8	3	16	14
ptg000015l:8422717-8423144	Cluster_8016	N	0	22	0	0	219	0	183	0	0	0	21	1	5	0	0	1	4	7	0	7	1	3	0	0	0	1	1	0	2	0	2	0	179	0	20	0	2	0	151	2	1	1	0	0
ptg000015l:8424883-8426603	Cluster_8017	N	232	0	16	795	540	11	956	12	0	0	52	607	253	154	118	29	685	375	21	199	6	134	0	0	0	271	1331	19	19	301	16	146	1158	9	203	22	424	143	694	155	31	25	118	14
ptg000015l:8426863-8427345	Cluster_8018	N	46	0	2	11	204	2	410	8	4	5	3	8	10	64	0	0	67	0	4	10	12	4	0	0	1	31	190	1	1	12	3	38	330	0	16	0	21	0	128	11	5	0	1	6
ptg000015l:8428163-8428593	Cluster_8019	N	0	0	0	4	339	0	254	0	0	3	0	4	18	3	3	0	1	3	1	10	0	9	1	0	1	0	7	0	1	1	0	3	311	0	13	2	5	2	297	4	0	2	1	6
ptg000015l:8428797-8429226	Cluster_8020	N	507	0	2	2	599	2	440	0	0	0	0	1	16	604	0	2	391	0	4	9	0	13	0	0	1	436	2527	0	0	0	1	491	819	0	16	0	709	3	743	3	0	0	385	1
ptg000015l:8431158-8431587	Cluster_8021	N	0	0	3	3	183	0	305	0	0	0	0	4	12	0	1	0	17	2	3	3	4	2	0	0	0	42	80	0	0	4	1	1	224	0	3	0	0	4	226	3	2	0	0	2
ptg000015l:8434005-8434461	Cluster_8022	N	3	0	0	1	56	0	2	1	0	0	0	0	436	0	0	0	1	123	3	1948	0	11	0	0	0	1	229	0	1	0	53	0	45	0	168	10	38	64	1	0	0	0	43	0
ptg000015l:8436269-8436694	Cluster_8023	N	0	0	2	3	63	0	116	0	0	0	2	11	47	0	0	4	1	3	1	26	0	30	0	0	0	1	2	2	1	2	2	0	231	0	50	0	2	61	29	25	3	0	1	0
ptg000015l:8442181-8442957	Cluster_8024	N	61	0	17	13	480	232	536	13	0	1	2	4	16	98	1	0	171	13	46	13	28	13	0	0	0	54	305	0	14	7	28	69	601	106	15	225	154	5	426	7	9	106	52	35
ptg000015l:8448257-8448686	Cluster_8025	N	29	0	0	174	0	1	0	0	0	0	511	113	336	16	9	53	79	1387	7	668	4	132	0	0	0	52	215	21	0	150	4	22	4	1	186	4	58	438	3	473	0	0	16	3
ptg000015l:8457553-8458892	Cluster_8026	N	5	7	353	1193	92	12	228	22	0	0	1705	912	105	12	218	44	71	1746	736	140	472	34	0	0	0	15	266	7	27	1507	1085	42	212	6	191	18	511	1315	104	1976	96	3	8	715
ptg000015l:8463836-8464678	Cluster_8027	N	22	0	234	387	15	27	32	88	0	0	62	151	11	40	106	21	74	301	403	13	446	7	0	0	0	30	129	5	195	198	397	16	32	12	28	26	46	91	24	132	213	6	24	470
ptg000015l:8465408-8465846	Cluster_8028	N	11	0	63	96	8	23	22	20	0	0	49	59	24	19	21	11	115	191	197	19	69	7	0	0	0	33	69	2	41	62	31	26	19	15	16	11	55	61	9	88	30	7	28	91
ptg000015l:8468600-8469092	Cluster_8029	N	3	0	446	29	1	31	3	16	0	0	26	168	18	15	11	6	35	313	448	66	367	8	0	2	0	3	42	0	32	109	52	6	2	7	142	65	9	31	2	192	177	3	3	20
ptg000015l:8476401-8477212	Cluster_8030	N	398	0	913	662	747	10	1540	247	2	0	942	433	1550	210	224	155	684	3461	864	1066	561	793	0	0	0	584	1917	83	311	553	763	90	1765	7	444	16	238	1346	917	1219	315	0	282	781
ptg000015l:8477456-8478069	Cluster_8031	N	77	0	80	807	156	8	172	29	0	1	98	419	1012	81	217	27	189	385	146	1162	80	506	0	0	0	95	341	7	45	795	93	57	265	1	469	2	73	189	108	242	91	0	26	101
ptg000015l:8479402-8479972	Cluster_8032	N	45	0	12	609	32	1	84	0	0	0	59	377	1468	52	134	41	155	214	6	1227	11	757	0	0	0	110	310	0	10	478	0	56	128	3	437	0	98	232	54	126	0	1	37	3
ptg000015l:8480971-8481402	Cluster_8033	N	1	0	1	4	4	0	94	0	0	0	37	35	157	2	1	6	56	5	26	358	0	4	0	0	0	2	23	0	5	84	0	2	19	0	134	0	27	50	36	116	0	0	0	1
ptg000015l:8481756-8482179	Cluster_8034	N	1	0	17	23	7	4	25	9	0	0	6	10	88	5	4	39	5	9	17	71	27	27	0	0	0	10	30	47	6	34	41	3	27	1	49	2	1	727	15	467	15	0	0	20
ptg000015l:8483325-8483754	Cluster_8035	N	0	0	2	1	0	0	0	1	0	908	0	2	5	0	0	0	0	3	0	4	2	2	2	1	71	1	3	0	1	1	1	0	1	0	23	0	1	1	0	0	0	0	0	3
ptg000015l:8503137-8503619	Cluster_8036	N	0	0	0	92	5	1	7	0	0	100	1	46	1826	2	31	65	2	18	1	2301	0	730	0	1	5	0	2	1	2	73	3	0	12	6	916	2	1	1205	24	1274	0	3	0	2
ptg000015l:8513742-8514328	Cluster_8037	N	6	0	5	45	5	31	19	4	0	0	15	19	1002	18	22	25	73	255	12	1051	12	297	0	0	1	36	103	5	4	35	9	3	10	7	353	10	11	285	4	358	5	2	1	15
ptg000015l:8514822-8515445	Cluster_8038	N	2	0	5	211	9	19	8	1	0	0	28	15	786	3	92	26	6	96	23	363	4	467	1	0	0	4	6	9	9	176	6	2	35	10	438	24	8	171	14	206	6	5	0	6
ptg000015l:8523312-8523740	Cluster_8039	N	5	0	1	2	4	1	2	0	0	0	2	27	16	2	40	1	20	4	3	26	3	40	0	0	0	5	6	33	3	172	4	4	3	0	58	0	4	152	0	722	0	0	3	4
ptg000015l:8527536-8527972	Cluster_8040	N	18	0	54	119	43	16	55	31	0	1	76	72	831	21	58	61	56	208	82	1483	69	241	0	0	0	24	135	13	13	108	69	17	125	16	492	13	40	243	46	326	37	12	9	96
ptg000015l:8528356-8528781	Cluster_8041	N	24	0	32	10	17	32	12	18	0	0	10	7	118	38	4	9	37	50	44	66	29	98	0	0	0	26	69	2	3	8	14	21	13	6	55	35	52	76	16	76	11	17	24	38
ptg000015l:8529503-8530611	Cluster_8042	N	84	0	15	607	93	50	155	83	0	0	316	384	1139	63	113	36	232	2217	79	977	153	610	0	1	0	66	571	7	45	394	159	6	185	24	405	80	152	160	97	296	59	32	59	160
ptg000015l:8535979-8536830	Cluster_8043	N	0	0	30	57	17	589	27	21	0	1	164	16	1160	1	7	5	3	905	42	1079	103	637	0	0	0	0	5	2	33	21	50	1	11	464	241	984	0	15	11	4	68	187	0	90
ptg000015l:8537924-8538558	Cluster_8044	N	1	6	11	363	356	5	1047	6	0	0	358	266	8	0	4	0	4	691	13	7	8	5	0	0	2	7	6	2	4	677	4	1	1814	0	73	1	1	7	516	6	1	1	0	6
ptg000015l:8549155-8549573	Cluster_8045	N	0	0	7	8	0	71	0	1	0	0	1	6	62	1	0	0	15	8	0	104	4	29	0	0	0	1	0	1	1	12	0	0	2	26	101	22	2	14	0	24	0	1	0	10
ptg000015l:8551558-8551980	Cluster_8046	N	14	0	7	12	10	425	5	11	0	0	0	6	26	12	1	0	24	5	15	124	23	70	0	0	0	8	51	0	9	5	12	2	5	142	76	295	8	11	3	12	8	116	1	16
ptg000015l:8565528-8565960	Cluster_8047	N	0	0	348	4	0	3	0	28	0	0	14	2	10	0	1	0	0	123	436	15	772	1	0	0	0	0	0	0	67	7	332	0	0	2	125	1	0	5	0	0	135	2	0	286
ptg000015l:8567706-8568130	Cluster_8048	N	0	0	1	0	0	0	0	0	0	0	2	0	7	0	1	16	0	21	4	13	8	0	0	0	0	0	0	1	2	2	6	0	0	0	8	0	0	209	0	389	7	0	0	6
ptg000015l:8568267-8568694	Cluster_8049	N	0	0	162	12	0	6	0	98	0	0	45	7	17	0	0	0	0	131	346	14	172	8	0	0	0	0	0	0	174	6	149	0	1	0	60	0	0	0	0	1	186	0	0	229
ptg000015l:8571165-8571648	Cluster_8050	N	17	0	21	259	32	10	56	11	0	0	362	150	519	15	6	8	27	1123	58	536	15	235	0	0	0	34	752	4	12	164	27	11	65	8	397	19	28	86	38	85	17	3	8	36
ptg000015l:8572405-8573022	Cluster_8051	N	14	0	17	425	160	38	125	8	0	0	361	278	826	13	101	19	34	1235	25	1124	90	350	0	0	0	14	67	7	13	554	8	7	386	20	427	40	17	156	313	233	4	21	9	23
ptg000015l:8573148-8573577	Cluster_8052	N	14	0	19	137	17	14	42	14	0	1	33	66	257	8	9	5	39	186	14	249	28	80	0	0	0	19	218	2	6	31	20	11	25	6	82	13	10	19	13	23	7	3	4	22
ptg000015l:8573808-8574482	Cluster_8053	N	37	0	31	113	13	21	68	16	0	0	55	31	94	26	12	43	49	58	78	124	45	55	0	0	0	22	90	6	40	37	347	28	39	58	38	33	39	27	53	56	26	22	7	63
ptg000015l:8574598-8575029	Cluster_8054	N	1	0	4	588	9	3	14	0	1	0	186	357	428	0	51	1	0	738	2	404	2	121	0	0	0	1	2	3	2	406	2	3	3	5	158	12	1	1	7	3	7	4	8	3
ptg000015l:8578454-8578941	Cluster_8055	N	0	0	1	41	0	21	0	0	0	0	6	30	492	0	7	1	0	37	0	580	0	347	0	0	0	0	0	0	0	33	0	0	0	2	295	15	0	2	0	0	1	14	0	0
ptg000015l:8581651-8582079	Cluster_8056	N	0	0	5	75	0	2	0	3	0	0	14	19	91	0	6	1	0	68	58	642	19	463	0	0	0	0	0	0	3	24	3	0	0	1	338	1	0	31	0	68	4	0	0	13
ptg000015l:8585315-8585739	Cluster_8057	N	0	0	0	3	0	0	0	1	0	0	342	6	15	1	2	0	0	590	2	12	1	0	0	0	0	0	6	1	2	3	1	1	0	0	43	0	0	0	2	2	1	0	0	3
ptg000015l:8587433-8587846	Cluster_8058	N	16	0	16	0	0	1	0	8	0	69	22	2	5	20	1	0	60	39	23	4	20	8	0	35	54	22	145	0	16	4	10	14	0	1	27	2	35	0	1	0	22	0	23	42
ptg000015l:8587969-8588396	Cluster_8059	N	21	0	51	7	0	1	0	99	0	0	17	3	17	32	0	0	123	23	114	19	106	16	0	0	0	58	136	0	90	0	126	14	0	1	41	1	54	1	1	0	49	0	19	111
ptg000015l:8602159-8602588	Cluster_8060	N	3	0	18	10	5	2221	9	8	0	0	3	7	8	0	2	0	1	19	24	12	7	10	0	0	0	0	9	0	6	12	16	1	6	743	109	1526	0	1	4	1	4	273	0	21
ptg000015l:8626684-8627389	Cluster_8061	N	3	0	53	52	44	9	84	21	1	912	16	37	230	5	23	22	27	36	89	273	76	77	3	8	136	4	23	5	27	43	55	1	74	6	135	7	4	150	37	141	46	5	0	111
ptg000015l:8628678-8629096	Cluster_8062	N	0	0	6	28	23	1	78	1	0	0	29	13	194	0	0	3	0	44	4	263	4	75	0	0	0	0	1	2	1	17	7	0	51	0	88	6	1	50	16	60	5	0	1	4
ptg000015l:8629698-8630118	Cluster_8063	N	0	0	4	13	4	0	2	0	0	0	21	17	161	0	1	0	0	49	1	204	2	79	0	0	0	0	1	2	0	14	1	0	3	0	94	3	0	7	1	7	1	0	0	0
ptg000015l:8636096-8636560	Cluster_8064	N	6	0	21	48	468	1	967	0	0	0	18	61	177	2	18	15	15	21	25	281	27	77	0	0	0	7	45	0	9	73	36	1	1612	4	97	25	16	51	789	110	21	4	4	68
ptg000015l:8659328-8659728	Cluster_8065	N	7	0	8	11	42	40	117	4	0	0	12	3	1	17	3	28	17	72	18	25	16	7	0	0	0	31	47	7	4	11	13	9	97	19	13	23	7	40	39	46	7	5	2	10
ptg000015l:8659967-8660373	Cluster_8066	N	10	0	16	11	57	37	147	11	0	0	17	13	21	13	5	14	35	47	16	35	20	12	0	0	0	14	98	2	10	13	16	5	117	13	14	31	15	91	46	132	8	5	5	26
ptg000015l:8664548-8665538	Cluster_8067	N	83	0	398	46	1491	76	1701	347	0	0	36	35	252	62	17	109	342	119	849	250	448	213	0	1	0	176	403	13	350	61	923	60	3624	13	125	43	94	625	1550	865	313	13	44	437
ptg000015l:8674903-8677723	Cluster_8068	N	567	0	950	1429	154	549	251	597	2	12	434	825	5019	559	245	943	1942	1729	1411	7269	1238	2281	9	0	6	807	3791	205	619	738	1276	387	209	141	2237	351	1142	5222	171	6276	512	90	316	1378
ptg000015l:8677796-8679070	Cluster_8069	N	15	0	171	514	192	35	429	60	1	1	143	306	1609	48	156	84	260	934	1494	1594	205	480	0	0	0	42	414	17	38	378	540	21	179	14	685	31	76	276	203	731	258	5	16	198
ptg000015l:8680680-8681406	Cluster_8070	N	34	0	73	320	48	28	106	40	0	2	20	202	340	90	111	41	92	98	105	379	100	174	0	0	0	33	192	9	46	267	84	25	84	13	159	21	91	113	46	197	53	3	7	102
ptg000015l:8681438-8683575	Cluster_8071	N	463	4	1205	1920	85	1500	166	685	0	5	70	1046	2947	478	400	360	1469	255	1723	3164	1342	1565	2	0	1	624	2392	79	707	1395	1705	298	167	508	1626	1297	746	1780	85	2228	693	309	255	1775
ptg000015l:8687122-8688092	Cluster_8072	N	41	0	30	983	33	53	115	23	0	0	43	793	238	72	91	5	232	87	37	306	38	116	0	0	0	74	372	1	32	736	47	43	87	33	184	60	123	58	86	49	33	17	39	45
ptg000015l:8688979-8689584	Cluster_8073	N	82	0	9	200	2	4	4	2	0	0	24	46	68	307	13	20	426	54	12	84	4	60	0	0	0	166	322	10	3	60	12	76	11	4	75	6	94	108	4	206	2	0	56	10
ptg000015l:8699312-8699739	Cluster_8074	N	0	0	0	35	34	5	41	9	0	0	37	10	53	1	0	0	4	8	14	227	3	30	0	0	0	0	1	5	1	3	13	2	76	0	57	4	3	5	42	18	20	1	1	37
ptg000015l:8702713-8703134	Cluster_8075	N	0	0	55	1	2	1	2	24	0	0	11	1	7	1	0	0	2	3	14	9	42	0	0	0	0	2	2	0	16	0	42	2	2	1	263	4	2	19	2	40	34	1	0	69
ptg000015l:8703145-8703558	Cluster_8076	N	0	0	31	1	4	0	5	18	0	0	10	1	6	0	1	0	5	3	126	1	92	4	0	0	0	1	0	0	83	1	55	0	1	2	154	0	2	5	2	16	50	0	0	56
ptg000015l:8721578-8722004	Cluster_8077	N	11	0	3	11	15	2	21	5	0	0	0	6	199	7	2	4	1	111	23	95	3	90	2	0	1	8	16	3	9	7	12	4	11	2	39	0	9	8	6	18	1	3	7	3
ptg000015l:8731383-8731811	Cluster_8078	N	4	0	30	13	41	44	22	27	0	0	18	8	65	3	6	2	15	33	48	102	10	55	0	0	0	7	16	1	17	15	43	1	33	14	85	25	2	38	15	36	16	8	0	52
ptg000015l:8733702-8734514	Cluster_8079	N	0	0	217	176	0	97	0	201	0	0	178	54	296	1	6	0	0	944	309	330	417	171	0	0	0	0	1	0	161	127	317	0	1	4	116	61	3	0	1	0	178	4	0	687
ptg000015l:8734517-8734944	Cluster_8080	N	22	0	13	21	2	1	6	5	0	0	9	18	56	10	1	0	89	37	15	87	25	15	0	0	0	22	161	0	4	20	15	14	13	5	17	7	30	1	4	1	16	1	18	11
ptg000015l:8735439-8735852	Cluster_8081	N	4	0	0	25	3	1	1	0	0	0	12	25	181	0	9	1	1	55	0	183	0	129	0	0	0	3	5	0	0	14	1	2	0	3	73	3	4	3	0	1	0	0	0	3
ptg000015l:8741342-8741769	Cluster_8082	N	0	0	6	1	118	42	212	7	0	1	3	0	14	2	1	0	1	1	2	21	6	4	1	0	1	1	3	1	1	2	5	3	208	34	12	53	2	6	104	9	3	6	0	5
ptg000015l:8745269-8745693	Cluster_8083	N	0	0	15	6	18	14	70	9	0	0	5	10	41	0	4	2	8	13	26	77	6	18	1	0	2	5	11	0	3	9	19	1	82	3	45	6	3	30	20	67	13	0	0	34
ptg000015l:8746734-8747162	Cluster_8084	N	4	0	5	24	8	27	65	16	0	0	30	5	160	0	6	7	26	86	30	200	29	109	0	0	0	2	2	0	11	18	34	2	7	3	161	1	3	25	1	41	3	4	0	10
ptg000015l:8757432-8757858	Cluster_8085	N	1	0	7	6	10	8	20	14	0	0	15	4	55	3	0	1	5	7	17	104	27	5	0	0	0	5	70	0	8	22	8	2	21	8	43	14	6	31	11	38	24	6	7	58
ptg000015l:8761770-8762200	Cluster_8086	N	1	0	1	18	101	12	262	0	0	0	145	0	24	2	6	0	9	711	20	74	0	4	0	0	0	0	9	2	7	5	6	0	302	0	48	19	1	7	95	5	4	0	0	5
ptg000015l:8762871-8763303	Cluster_8087	N	32	0	35	17	12	13	60	4	0	0	45	6	37	16	3	20	82	214	1	100	6	5	0	0	0	25	35	1	4	2	1	5	125	7	126	16	0	305	62	480	0	2	31	10
ptg000015l:8763782-8764201	Cluster_8088	N	2	0	0	6	4	0	7	0	0	0	39	114	26	1	6	2	5	23	0	130	4	10	0	0	0	0	3	1	0	23	0	0	1	0	122	0	3	7	0	4	0	0	0	0
ptg000015l:8764938-8765719	Cluster_8089	N	11	0	45	70	101	136	79	62	0	0	51	49	461	13	36	34	34	166	162	282	55	264	0	0	0	21	54	25	79	43	130	10	132	81	173	154	11	291	106	320	56	24	6	97
ptg000015l:8765781-8766609	Cluster_8090	N	7	0	125	80	143	93	136	59	0	0	35	74	944	21	41	68	27	190	269	726	90	665	0	0	0	36	43	32	105	58	145	10	140	71	510	136	32	469	111	680	79	43	8	126
ptg000015l:8769661-8770088	Cluster_8091	N	0	0	0	1	8	20	8	6	0	0	4	0	31	14	0	0	1	89	97	67	29	28	0	0	0	0	4	1	2	8	9	0	10	8	193	8	0	17	15	4	9	8	0	64
ptg000015l:8772193-8772608	Cluster_8092	N	2	0	15	3	24	11	58	8	0	0	17	6	81	4	2	4	7	30	50	109	18	56	0	0	0	0	8	1	16	6	31	0	29	8	166	21	2	26	16	42	17	0	0	34
ptg000015l:8772762-8773173	Cluster_8093	N	0	0	13	1	12	11	56	4	0	0	19	1	55	1	0	0	15	43	21	90	14	19	0	0	0	0	2	2	4	3	7	0	26	3	136	4	5	14	7	43	2	0	0	37
ptg000015l:8773810-8774238	Cluster_8094	N	0	0	5	2	6	28	7	5	0	0	4	2	416	0	0	1	3	21	14	142	7	54	0	0	0	2	1	1	2	0	0	2	8	15	75	44	1	6	3	16	2	9	0	3
ptg000015l:8780285-8780712	Cluster_8095	N	0	0	21	6	66	30	125	21	0	0	34	4	65	0	0	2	1	79	30	59	11	28	0	0	0	0	1	0	7	1	19	0	129	44	63	69	0	17	75	21	15	33	0	20
ptg000015l:8781017-8781433	Cluster_8096	N	1	0	16	9	34	16	39	8	0	0	18	9	117	3	2	6	6	59	32	156	32	53	0	0	0	1	7	0	17	6	22	1	56	8	86	17	4	13	43	35	10	9	1	25
ptg000015l:8784450-8784879	Cluster_8097	N	23	0	37	10	48	56	135	18	0	0	19	10	187	12	1	9	33	49	51	361	42	119	0	0	0	16	130	3	14	14	38	1	67	28	154	36	40	71	34	128	9	2	1	96
ptg000015l:8785525-8785954	Cluster_8098	N	0	0	61	11	43	54	65	33	0	0	30	17	190	0	4	10	2	69	66	176	29	115	0	0	0	0	0	2	42	8	68	0	107	27	128	65	0	63	49	107	27	6	0	48
ptg000015l:8788101-8788819	Cluster_8099	N	2	0	242	28	206	120	262	157	3	1	92	32	1559	6	12	42	12	467	380	1170	281	1220	0	0	0	6	9	11	163	21	357	1	254	69	711	121	7	251	201	427	195	38	2	369
ptg000015l:8789745-8790173	Cluster_8100	N	1	0	1	427	29	0	42	0	0	0	8	158	20	1	5	7	2	37	3	60	0	18	0	0	0	0	12	0	7	313	0	0	1	2	22	0	20	0	19	2	0	0	0	1
ptg000015l:8790439-8792073	Cluster_8101	N	141	0	95	1699	67	175	9	26	4	11	577	671	3506	48	255	13	221	3156	138	3224	82	1232	6	1	2	25	108	6	55	2310	63	5	8	150	1427	292	19	46	2	41	115	59	12	78
ptg000015l:8795451-8795885	Cluster_8102	N	1	0	146	7	63	165	224	96	0	0	1	12	595	0	3	50	0	27	192	502	203	166	0	0	0	1	3	1	29	31	156	0	110	89	218	135	0	23	44	198	98	53	0	320
ptg000015l:8796675-8797321	Cluster_8103	N	0	0	98	67	156	190	144	29	0	0	57	24	719	0	10	88	0	113	154	494	110	400	0	0	0	0	1	1	64	29	120	0	169	39	311	224	0	307	155	454	47	19	0	80
ptg000015l:8801268-8801698	Cluster_8104	N	0	0	18	2	4	258	8	30	2	0	62	2	1904	0	0	3	0	309	37	3483	42	462	0	0	0	0	1	0	20	0	66	0	6	59	676	71	0	1	5	6	11	53	0	36
ptg000015l:8802876-8803320	Cluster_8105	N	0	0	1	18	42	91	153	3	0	0	24	3	569	0	4	5	2	66	45	580	11	151	0	0	0	1	8	0	5	13	4	0	106	53	275	77	5	77	44	115	1	15	0	35
ptg000015l:8812028-8812457	Cluster_8106	N	0	0	42	9	25	299	43	13	0	0	18	11	1177	0	1	11	0	48	78	965	76	576	0	0	0	0	0	3	34	8	56	0	30	69	405	267	0	21	14	35	40	43	0	48
ptg000015l:8816757-8817186	Cluster_8107	N	4	0	0	4	10	12	34	3	0	0	60	6	485	1	12	7	4	133	5	384	8	106	0	0	0	0	6	5	4	23	6	2	15	5	112	1	8	25	20	17	0	0	1	8
ptg000015l:8817466-8817954	Cluster_8108	N	13	0	132	63	245	940	392	76	1	0	144	45	802	9	17	36	23	417	231	750	150	380	0	0	0	15	55	5	133	46	319	3	574	507	427	838	11	143	286	230	101	1032	7	237
ptg000015l:8818183-8819160	Cluster_8109	N	111	0	176	325	215	349	253	121	2	0	176	166	646	114	51	161	309	915	373	453	155	491	0	0	0	133	700	45	294	187	229	72	337	185	736	403	192	809	212	873	114	121	57	196
ptg000015l:8819687-8820112	Cluster_8110	N	10	0	22	39	26	9	45	11	0	0	20	19	105	12	4	13	47	28	18	189	32	83	0	0	0	12	74	0	6	21	26	15	74	13	157	11	24	40	20	76	17	2	7	35
ptg000015l:8820296-8820712	Cluster_8111	N	3	0	10	14	23	26	23	9	0	0	6	6	76	0	1	8	6	31	34	44	3	51	0	0	1	1	7	0	17	7	11	0	26	17	314	56	3	37	44	69	16	8	1	13
ptg000015l:8821651-8822520	Cluster_8112	N	3137	217	2546	1874	3791	3157	1503	9894	13041	2311	6275	5204	3081	4497	6813	20201	1487	3935	4798	2077	820	2953	1779	1211	712	9741	3364	24537	3409	3166	4110	3322	3140	3194	1757	4173	13043	6434	12306	3739	11920	23995	29577	3653
