go_term,total_occurrences,unique_group_ids,n_components,redundant_occurrences,redundancy_pct,avg_times_per_group
negative regulation of phosphorylation,1,1,1,0,0,1
negative regulation of platelet-derived growth factor receptor-alpha signaling pathway,1,1,1,0,0,1
negative regulation of pro-B cell differentiation,1,1,1,0,0,1
negative regulation of prostaglandin biosynthetic process,1,1,1,0,0,1
negative regulation of receptor signaling pathway via JAK-STAT,1,1,1,0,0,1
negative regulation of tyrosine phosphorylation of STAT protein,1,1,1,0,0,1
nerve development,1,1,1,0,0,1
neural crest cell migration involved in autonomic nervous system development,1,1,1,0,0,1
neural tube closure,1,1,1,0,0,1
neuroblast proliferation,1,1,1,0,0,1
neuron apoptotic process,1,1,1,0,0,1
neuron projection arborization,1,1,1,0,0,1
non-motile cilium assembly,1,1,1,0,0,1
nucleocytoplasmic transport,1,1,1,0,0,1
nucleotide transport,1,1,1,0,0,1
one-carbon metabolic process,1,1,1,0,0,1
otic vesicle development,1,1,1,0,0,1
outflow tract morphogenesis,1,1,1,0,0,1
ovulation,1,1,1,0,0,1
peptide catabolic process,1,1,1,0,0,1
peptidyl-lysine oxidation,1,1,1,0,0,1
peroxisome fission,1,1,1,0,0,1
phosphate-containing compound metabolic process,1,1,1,0,0,1
phosphatidylinositol 3-kinase/protein kinase B signal transduction,1,1,1,0,0,1
photoreceptor cell differentiation,1,1,1,0,0,1
photoreceptor cell maintenance,1,1,1,0,0,1
pigment metabolic process involved in pigmentation,1,1,1,0,0,1
platelet-derived growth factor receptor signaling pathway,1,1,1,0,0,1
podocyte development,1,1,1,0,0,1
poly(A)+ mRNA export from nucleus,1,1,1,0,0,1
positive regulation of 3'-UTR-mediated mRNA stabilization,1,1,1,0,0,1
positive regulation of DNA binding,1,1,1,0,0,1
positive regulation of MAP kinase activity,1,1,1,0,0,1
positive regulation of apoptotic process,1,1,1,0,0,1
positive regulation of astrocyte differentiation,1,1,1,0,0,1
positive regulation of dendritic spine morphogenesis,1,1,1,0,0,1
positive regulation of endothelial cell migration,1,1,1,0,0,1
positive regulation of endothelial cell proliferation,1,1,1,0,0,1
positive regulation of epithelial cell migration,1,1,1,0,0,1
positive regulation of exosomal secretion,1,1,1,0,0,1
positive regulation of interleukin-10 production,1,1,1,0,0,1
positive regulation of myoblast differentiation,1,1,1,0,0,1
positive regulation of myotube differentiation,1,1,1,0,0,1
positive regulation of neurogenesis,1,1,1,0,0,1
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,1,1,1,0,0,1
positive regulation of oligodendrocyte progenitor proliferation,1,1,1,0,0,1
positive regulation of protein autophosphorylation,1,1,1,0,0,1
positive regulation of receptor signaling pathway via JAK-STAT,1,1,1,0,0,1
positive regulation of sarcomere organization,1,1,1,0,0,1
positive regulation of skeletal muscle fiber differentiation,1,1,1,0,0,1
positive regulation of stem cell differentiation,1,1,1,0,0,1
positive regulation of synaptic assembly at neuromuscular junction,1,1,1,0,0,1
post-embryonic hemopoiesis,1,1,1,0,0,1
presynapse assembly,1,1,1,0,0,1
presynaptic actin cytoskeleton organization,1,1,1,0,0,1
presynaptic membrane assembly,1,1,1,0,0,1
propionate biosynthetic process,1,1,1,0,0,1
proteasome-mediated ubiquitin-dependent protein catabolic process,1,1,1,0,0,1
protein aggregate center assembly,1,1,1,0,0,1
protein complex oligomerization,1,1,1,0,0,1
protein dephosphorylation,1,1,1,0,0,1
protein import into nucleus,1,1,1,0,0,1
protein localization to centrosome,1,1,1,0,0,1
protein localization to chromatin,1,1,1,0,0,1
protein localization to motile cilium,1,1,1,0,0,1
pulmonary artery morphogenesis,1,1,1,0,0,1
regulation of DNA damage checkpoint,1,1,1,0,0,1
regulation of DNA-templated DNA replication initiation,1,1,1,0,0,1
regulation of ERK1 and ERK2 cascade,1,1,1,0,0,1
regulation of catalytic activity,1,1,1,0,0,1
regulation of cell cycle G2/M phase transition,1,1,1,0,0,1
regulation of cilium assembly,1,1,1,0,0,1
regulation of extracellular exosome assembly,1,1,1,0,0,1
regulation of extrinsic apoptotic signaling pathway,1,1,1,0,0,1
regulation of immune response,1,1,1,0,0,1
regulation of melanin biosynthetic process,1,1,1,0,0,1
regulation of myotube differentiation,1,1,1,0,0,1
regulation of postsynapse organization,1,1,1,0,0,1
regulation of postsynaptic density assembly,1,1,1,0,0,1
regulation of receptor signaling pathway via JAK-STAT,1,1,1,0,0,1
regulation of sarcomere organization,1,1,1,0,0,1
regulation of translational fidelity,1,1,1,0,0,1
response to electrical stimulus,1,1,1,0,0,1
response to ionizing radiation,1,1,1,0,0,1
response to leptin,1,1,1,0,0,1
response to mechanical stimulus,1,1,1,0,0,1
response to peptide hormone,1,1,1,0,0,1
response to radiation,1,1,1,0,0,1
response to type III interferon,1,1,1,0,0,1
response to unfolded protein,1,1,1,0,0,1
rhythmic process,1,1,1,0,0,1
roof of mouth development,1,1,1,0,0,1
secondary heart field specification,1,1,1,0,0,1
semaphorin-plexin signaling pathway,1,1,1,0,0,1
sensory neuron axon guidance,1,1,1,0,0,1
sensory perception of light stimulus,1,1,1,0,0,1
sexual reproduction,1,1,1,0,0,1
skeletal muscle cell differentiation,1,1,1,0,0,1
somite development,1,1,1,0,0,1
sperm flagellum assembly,1,1,1,0,0,1
sperm mitochondrial sheath assembly,1,1,1,0,0,1
spinal cord development,1,1,1,0,0,1
sympathetic ganglion development,1,1,1,0,0,1
sympathetic neuron projection extension,1,1,1,0,0,1
sympathetic neuron projection guidance,1,1,1,0,0,1
synaptic membrane adhesion,1,1,1,0,0,1
thigmotaxis,1,1,1,0,0,1
toll-like receptor 9 signaling pathway,1,1,1,0,0,1
trans-synaptic signaling by trans-synaptic complex,1,1,1,0,0,1
transcription initiation-coupled chromatin remodeling,1,1,1,0,0,1
trigeminal ganglion development,1,1,1,0,0,1
trigeminal nerve structural organization,1,1,1,0,0,1
vagina development,1,1,1,0,0,1
venom-mediated blood coagulation,1,1,1,0,0,1
ventral trunk neural crest cell migration,1,1,1,0,0,1
ventricular compact myocardium morphogenesis,1,1,1,0,0,1
ventricular septum development,1,1,1,0,0,1
vestibulocochlear nerve structural organization,1,1,1,0,0,1
vitamin D metabolic process,1,1,1,0,0,1
water transport,1,1,1,0,0,1
wybutosine biosynthetic process,1,1,1,0,0,1
xenobiotic metabolic process,1,1,1,0,0,1
